index,NMId,ObsRPShape,Poros,Darcy,ConcIn,PvIn,pH,IonStr,SaltType,ColumnLWRatio,PartDensity,PartIEP,pHIEPDist,PartZeta,CollecZeta,PartDiam,CollecDiam,PartCollSizeRatio,Coating,ConcHA,TypeNOM,Hamaker,Dispersivity,NanoSize,mbEffluent,mbRetained,mbEffluent_norm,mbRetained_norm
93,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.5,CaCl2,5,5610,9.4,-1.4,-12.9,-40.7,4.57E-07,0.00051,0.000896,None,0,None,,,0,0.235,0.632,0.271049596,0.728950404
94,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.5,CaCl2,5,5610,9.4,-1.4,-20.5,-40.7,3.05E-07,0.00051,0.000599,None,0.001,Alg,,,0,0.621,0.228,0.731448763,0.268551237
95,ZnO,HE,0.42,9.26E-05,0.005,3,8,0.5,CaCl2,5,5610,9.4,-1.4,-14.6,-40.7,3.13E-07,0.00051,0.000615,None,0.001,SRHA,,,0,0.632,0.238,0.726436782,0.273563218
96,ZnO,EXP,0.42,9.26E-05,0.005,3,8,1,CaCl2,5,5610,9.4,-1.4,-9.8,-34,5.07E-07,0.00051,0.000994,None,0,None,,,0,0.155,0.755,0.17032967,0.82967033
97,ZnO,EXP,0.42,9.26E-05,0.005,3,8,1,CaCl2,5,5610,9.4,-1.4,-11.4,-34,3.33E-07,0.00051,0.000653,None,0.001,Alg,,,0,0.692,0.258,0.728421053,0.271578947
98,ZnO,HE,0.42,9.26E-05,0.005,3,8,1,CaCl2,5,5610,9.4,-1.4,-11.1,-34,3.21E-07,0.00051,0.000629,None,0.001,SRHA,,,0,0.747,0.233,0.762244898,0.237755102
99,ZnO,HE,0.42,9.26E-05,0.005,3,8,10,NaCl,5,5610,9.4,-1.4,-19.2,-61.4,5.83E-07,0.00051,0.00114,None,0,None,,,0,0.654,0.273,0.705501618,0.294498382
100,ZnO,SIR,0.42,9.26E-05,0.005,3,8,10,NaCl,5,5610,9.4,-1.4,-27.2,-61.4,2.99E-07,0.00051,0.000586,None,0.001,SRHA,,,0,0.914,0.173,0.840846366,0.159153634
101,ZnO,HE,0.42,9.26E-05,0.005,3,8,10,NaCl,5,5610,9.4,-1.4,-25.9,-61.4,3.19E-07,0.00051,0.000625,None,0.001,Alg,,,0,0.695,0.212,0.766262404,0.233737596
102,ZnO,HE,0.42,9.26E-05,0.005,3,8,1,NaCl,5,5610,9.4,-1.4,-35.2,-72.3,3.87E-07,0.00051,0.000759,None,0,None,,,0,0.411,0.503,0.449671772,0.550328228
103,ZnO,HE,0.42,9.26E-05,0.005,3,8,1,NaCl,5,5610,9.4,-1.4,-54.7,-72.3,2.87E-07,0.00051,0.000562,None,0.001,SRHA,,,0,0.792,0.22,0.782608696,0.217391304
104,ZnO,EXP,0.42,9.26E-05,0.005,3,8,1,NaCl,5,5610,9.4,-1.4,-52.3,-72.3,2.99E-07,0.00051,0.000586,None,0.001,Alg,,,0,0.621,0.238,0.722933644,0.277066356
